   Time:s   IReque   IAccep   IBlock   IRelea    #Actv   TReque   TAccep   TBlock   TRelea
    1.000        0        0        0        0        0        0        0        0        0
    2.000        0        0        0        0        0        0        0        0        0
    3.000        0        0        0        0        0        0        0        0        0
    4.000        0        0        0        0        0        0        0        0        0
    5.000        0        0        0        0        0        0        0        0        0
    6.000        0        0        0        0        0        0        0        0        0
    7.000        0        0        0        0        0        0        0        0        0
    8.000        0        0        0        0        0        0        0        0        0
    9.000        0        0        0        0        0        0        0        0        0
   10.000        0        0        0        0        0        0        0        0        0
   11.000        0        0        0        0        0        0        0        0        0
   12.000        0        0        0        0        0        0        0        0        0
   13.000        0        0        0        0        0        0        0        0        0
   14.000        0        0        0        0        0        0        0        0        0
   15.000        0        0        0        0        0        0        0        0        0
   16.000        0        0        0        0        0        0        0        0        0
   17.000        0        0        0        0        0        0        0        0        0
   18.000        0        0        0        0        0        0        0        0        0
   19.000        0        0        0        0        0        0        0        0        0
   20.000        0        0        0        0        0        0        0        0        0
   21.000        0        0        0        0        0        0        0        0        0
   22.000        0        0        0        0        0        0        0        0        0
   23.000        0        0        0        0        0        0        0        0        0
   24.000        0        0        0        0        0        0        0        0        0
   25.000        0        0        0        0        0        0        0        0        0
   26.000        0        0        0        0        0        0        0        0        0
   27.000        0        0        0        0        0        0        0        0        0
   28.000        0        0        0        0        0        0        0        0        0
   29.000        0        0        0        0        0        0        0        0        0
   30.000        1        0        1        0        0        1        0        1        0
   31.000        1        0        1        0        0        2        0        2        0
   32.000        5        0        5        0        0        7        0        7        0
   33.000        0        0        0        0        0        7        0        7        0
   34.000        0        0        0        0        0        7        0        7        0
   35.000        1        0        1        0        0        8        0        8        0
   36.000        2        0        2        0        0       10        0       10        0
   37.000        2        0        2        0        0       12        0       12        0
   38.000        2        0        2        0        0       14        0       14        0
   39.000        9        0        9        0        0       23        0       23        0
   40.000        2        0        2        0        0       25        0       25        0
   41.000        1        0        1        0        0       26        0       26        0
   42.000        5        0        5        0        0       31        0       31        0
   43.000        4        0        4        0        0       35        0       35        0
   44.000        1        0        1        0        0       36        0       36        0
   45.000        2        0        2        0        0       38        0       38        0
   46.000        0        0        0        0        0       38        0       38        0
   47.000        2        0        2        0        0       40        0       40        0
   48.000        1        0        1        0        0       41        0       41        0
   49.000        4        0        4        0        0       45        0       45        0
   50.000        0        0        0        0        0       45        0       45        0
   51.000        1        0        1        0        0       46        0       46        0
   52.000        4        0        4        0        0       50        0       50        0
   53.000        2        0        2        0        0       52        0       52        0
   54.000        2        0        2        0        0       54        0       54        0
   55.000        4        0        4        0        0       58        0       58        0
   56.000        2        0        2        0        0       60        0       60        0
   57.000        4        0        4        0        0       64        0       64        0
   58.000        4        0        4        0        0       68        0       68        0
