Ping 10.0.0.1 via ports 65535->7001
Reply from 10.0.0.1 seq=0 time=0.757999 ms
Reply from 10.0.0.1 seq=1 time=1.238 ms
Reply from 10.0.0.1 seq=2 time=1.478 ms
Reply from 10.0.0.1 seq=3 time=1.478 ms
Reply from 10.0.0.1 seq=4 time=1.718 ms
Reply from 10.0.0.1 seq=5 time=1.718 ms
Reply from 10.0.0.1 seq=6 time=1.718 ms
Reply from 10.0.0.1 seq=7 time=1.958 ms
Reply from 10.0.0.1 seq=8 time=1.958 ms
Reply from 10.0.0.1 seq=9 time=1.958 ms
Reply from 10.0.0.1 seq=10 time=1.958 ms
Reply from 10.0.0.1 seq=11 time=1.96676 ms
Reply from 10.0.0.1 seq=12 time=1.798 ms
Reply from 10.0.0.1 seq=13 time=1.798 ms
Reply from 10.0.0.1 seq=14 time=1.85968 ms
Reply from 10.0.0.1 seq=15 time=2.038 ms
Reply from 10.0.0.1 seq=16 time=2.04288 ms
Reply from 10.0.0.1 seq=17 time=2.078 ms
Reply from 10.0.0.1 seq=18 time=2.078 ms
Reply from 10.0.0.1 seq=19 time=2.078 ms
Reply from 10.0.0.1 seq=20 time=2.278 ms
Reply from 10.0.0.1 seq=21 time=2.278 ms
Reply from 10.0.0.1 seq=22 time=1.918 ms
Reply from 10.0.0.1 seq=23 time=1.92782 ms
Reply from 10.0.0.1 seq=24 time=2.12371 ms
Reply from 10.0.0.1 seq=25 time=2.12347 ms
Reply from 10.0.0.1 seq=26 time=2.1599 ms
Reply from 10.0.0.1 seq=27 time=2.158 ms
Reply from 10.0.0.1 seq=28 time=2.158 ms
Reply from 10.0.0.1 seq=29 time=2.158 ms
Reply from 10.0.0.1 seq=30 time=2.398 ms
Reply from 10.0.0.1 seq=31 time=2.41579 ms
Reply from 10.0.0.1 seq=32 time=2.41238 ms
Reply from 10.0.0.1 seq=33 time=2.41123 ms
Reply from 10.0.0.1 seq=34 time=2.41206 ms
Reply from 10.0.0.1 seq=35 time=2.398 ms
Reply from 10.0.0.1 seq=36 time=2.398 ms
Reply from 10.0.0.1 seq=37 time=2.398 ms
Reply from 10.0.0.1 seq=38 time=2.398 ms
Reply from 10.0.0.1 seq=39 time=2.398 ms
Reply from 10.0.0.1 seq=40 time=2.398 ms
Reply from 10.0.0.1 seq=41 time=2.398 ms
Reply from 10.0.0.1 seq=42 time=2.39979 ms
Reply from 10.0.0.1 seq=43 time=2.4006 ms
Reply from 10.0.0.1 seq=44 time=2.598 ms
Reply from 10.0.0.1 seq=45 time=2.60875 ms
Reply from 10.0.0.1 seq=46 time=2.62224 ms
Reply from 10.0.0.1 seq=47 time=2.612 ms
Reply from 10.0.0.1 seq=48 time=2.60747 ms
Reply from 10.0.0.1 seq=49 time=2.598 ms
Reply from 10.0.0.1 seq=50 time=2.598 ms
Reply from 10.0.0.1 seq=51 time=2.638 ms
Reply from 10.0.0.1 seq=52 time=2.638 ms
Reply from 10.0.0.1 seq=53 time=2.638 ms
Reply from 10.0.0.1 seq=54 time=2.638 ms
Reply from 10.0.0.1 seq=55 time=2.65399 ms
Reply from 10.0.0.1 seq=56 time=2.64411 ms
Reply from 10.0.0.1 seq=57 time=2.638 ms
Reply from 10.0.0.1 seq=58 time=2.678 ms
Reply from 10.0.0.1 seq=59 time=2.70219 ms
Reply from 10.0.0.1 seq=60 time=2.68942 ms
Reply from 10.0.0.1 seq=61 time=2.678 ms
Reply from 10.0.0.1 seq=62 time=2.678 ms
Reply from 10.0.0.1 seq=63 time=2.68995 ms
Reply from 10.0.0.1 seq=64 time=2.678 ms
Reply from 10.0.0.1 seq=65 time=2.6889 ms
Reply from 10.0.0.1 seq=66 time=2.70803 ms
Reply from 10.0.0.1 seq=67 time=2.71128 ms
Reply from 10.0.0.1 seq=68 time=2.6799 ms
Reply from 10.0.0.1 seq=69 time=2.88517 ms
Reply from 10.0.0.1 seq=70 time=2.87909 ms
Reply from 10.0.0.1 seq=71 time=2.90749 ms
Reply from 10.0.0.1 seq=72 time=2.90315 ms
Reply from 10.0.0.1 seq=73 time=2.89033 ms
Reply from 10.0.0.1 seq=74 time=2.878 ms
Reply from 10.0.0.1 seq=75 time=2.88269 ms
Reply from 10.0.0.1 seq=76 time=2.878 ms
Reply from 10.0.0.1 seq=77 time=2.91582 ms
Reply from 10.0.0.1 seq=78 time=2.8903 ms
Reply from 10.0.0.1 seq=79 time=2.89057 ms
Reply from 10.0.0.1 seq=80 time=2.91122 ms
Reply from 10.0.0.1 seq=81 time=2.88565 ms
Reply from 10.0.0.1 seq=82 time=2.89658 ms
Reply from 10.0.0.1 seq=83 time=2.88828 ms
Reply from 10.0.0.1 seq=84 time=2.93487 ms
Reply from 10.0.0.1 seq=85 time=2.92335 ms
Reply from 10.0.0.1 seq=86 time=2.92027 ms
Reply from 10.0.0.1 seq=87 time=2.918 ms
Reply from 10.0.0.1 seq=88 time=2.93637 ms
Reply from 10.0.0.1 seq=89 time=2.918 ms
Reply from 10.0.0.1 seq=90 time=2.918 ms
Reply from 10.0.0.1 seq=91 time=2.918 ms
Reply from 10.0.0.1 seq=92 time=2.92981 ms
Reply from 10.0.0.1 seq=93 time=2.93246 ms
Reply from 10.0.0.1 seq=94 time=2.9297 ms
Reply from 10.0.0.1 seq=95 time=2.94199 ms
Reply from 10.0.0.1 seq=96 time=2.92772 ms
Reply from 10.0.0.1 seq=97 time=2.92001 ms
Reply from 10.0.0.1 seq=98 time=2.9307 ms
Reply from 10.0.0.1 seq=99 time=2.918 ms
Reply from 10.0.0.1 seq=100 time=2.97238 ms
Reply from 10.0.0.1 seq=101 time=2.918 ms
Reply from 10.0.0.1 seq=102 time=2.918 ms
Reply from 10.0.0.1 seq=103 time=2.92008 ms
Reply from 10.0.0.1 seq=104 time=2.94131 ms
Reply from 10.0.0.1 seq=105 time=2.92488 ms
Reply from 10.0.0.1 seq=106 time=2.92156 ms
Reply from 10.0.0.1 seq=107 time=2.965 ms
Reply from 10.0.0.1 seq=108 time=2.918 ms
Reply from 10.0.0.1 seq=109 time=2.92301 ms
Reply from 10.0.0.1 seq=110 time=2.93051 ms
Reply from 10.0.0.1 seq=111 time=2.93594 ms
Reply from 10.0.0.1 seq=112 time=2.918 ms
Reply from 10.0.0.1 seq=113 time=2.918 ms
Reply from 10.0.0.1 seq=114 time=2.93548 ms
Reply from 10.0.0.1 seq=115 time=2.93084 ms
Reply from 10.0.0.1 seq=116 time=2.94067 ms
Reply from 10.0.0.1 seq=117 time=2.918 ms
Reply from 10.0.0.1 seq=118 time=2.93975 ms
Reply from 10.0.0.1 seq=119 time=2.918 ms
Reply from 10.0.0.1 seq=120 time=2.93589 ms
Reply from 10.0.0.1 seq=121 time=2.918 ms
Reply from 10.0.0.1 seq=122 time=2.92078 ms
Reply from 10.0.0.1 seq=123 time=2.96486 ms
Reply from 10.0.0.1 seq=124 time=2.918 ms
Reply from 10.0.0.1 seq=125 time=3.00665 ms
Reply from 10.0.0.1 seq=126 time=2.918 ms
Reply from 10.0.0.1 seq=127 time=2.93057 ms
Reply from 10.0.0.1 seq=128 time=2.92598 ms
Reply from 10.0.0.1 seq=129 time=2.918 ms
Reply from 10.0.0.1 seq=130 time=2.918 ms
Reply from 10.0.0.1 seq=131 time=2.918 ms
Reply from 10.0.0.1 seq=132 time=2.93099 ms
Reply from 10.0.0.1 seq=133 time=2.918 ms
Reply from 10.0.0.1 seq=134 time=2.93924 ms
Reply from 10.0.0.1 seq=135 time=2.93827 ms
Reply from 10.0.0.1 seq=136 time=2.92676 ms
Reply from 10.0.0.1 seq=137 time=2.918 ms
Reply from 10.0.0.1 seq=138 time=2.94118 ms
Reply from 10.0.0.1 seq=139 time=2.92267 ms
Reply from 10.0.0.1 seq=140 time=2.92597 ms
Reply from 10.0.0.1 seq=141 time=2.93717 ms
Reply from 10.0.0.1 seq=142 time=2.93707 ms
Reply from 10.0.0.1 seq=143 time=2.92383 ms
Reply from 10.0.0.1 seq=144 time=2.918 ms
Reply from 10.0.0.1 seq=145 time=2.94423 ms
Reply from 10.0.0.1 seq=146 time=2.95012 ms
Reply from 10.0.0.1 seq=147 time=2.918 ms
Reply from 10.0.0.1 seq=148 time=2.96304 ms
Reply from 10.0.0.1 seq=149 time=2.91991 ms
Reply from 10.0.0.1 seq=150 time=2.93101 ms
Reply from 10.0.0.1 seq=151 time=2.96914 ms
Reply from 10.0.0.1 seq=152 time=2.95683 ms
Reply from 10.0.0.1 seq=153 time=2.91884 ms
Reply from 10.0.0.1 seq=154 time=2.93325 ms
Reply from 10.0.0.1 seq=155 time=2.93769 ms
Reply from 10.0.0.1 seq=156 time=2.9437 ms
Reply from 10.0.0.1 seq=157 time=2.94683 ms
Reply from 10.0.0.1 seq=158 time=2.918 ms
Reply from 10.0.0.1 seq=159 time=2.92503 ms
Reply from 10.0.0.1 seq=160 time=2.9376 ms
Reply from 10.0.0.1 seq=161 time=2.97361 ms
Reply from 10.0.0.1 seq=162 time=2.918 ms
Reply from 10.0.0.1 seq=163 time=2.918 ms
Reply from 10.0.0.1 seq=164 time=2.918 ms
Reply from 10.0.0.1 seq=165 time=2.918 ms
Reply from 10.0.0.1 seq=166 time=2.918 ms
Reply from 10.0.0.1 seq=167 time=2.918 ms
Reply from 10.0.0.1 seq=168 time=2.92307 ms
Reply from 10.0.0.1 seq=169 time=2.92737 ms
Reply from 10.0.0.1 seq=170 time=2.9293 ms
Reply from 10.0.0.1 seq=171 time=2.926 ms
Reply from 10.0.0.1 seq=172 time=2.918 ms
Reply from 10.0.0.1 seq=173 time=2.93863 ms
Reply from 10.0.0.1 seq=174 time=2.918 ms
Reply from 10.0.0.1 seq=175 time=2.95039 ms
Reply from 10.0.0.1 seq=176 time=2.918 ms
Reply from 10.0.0.1 seq=177 time=2.91953 ms
Reply from 10.0.0.1 seq=178 time=2.92659 ms
Reply from 10.0.0.1 seq=179 time=2.918 ms
Reply from 10.0.0.1 seq=180 time=2.92295 ms
Reply from 10.0.0.1 seq=181 time=2.918 ms
Reply from 10.0.0.1 seq=182 time=2.92474 ms
Reply from 10.0.0.1 seq=183 time=2.918 ms
Reply from 10.0.0.1 seq=184 time=2.9632 ms
Reply from 10.0.0.1 seq=185 time=2.9379 ms
Reply from 10.0.0.1 seq=186 time=2.92311 ms
Reply from 10.0.0.1 seq=187 time=2.94392 ms
Reply from 10.0.0.1 seq=188 time=2.92502 ms
Reply from 10.0.0.1 seq=189 time=2.94966 ms
Reply from 10.0.0.1 seq=190 time=2.918 ms
Reply from 10.0.0.1 seq=191 time=2.91877 ms
Reply from 10.0.0.1 seq=192 time=2.96861 ms
Reply from 10.0.0.1 seq=193 time=2.918 ms
Reply from 10.0.0.1 seq=194 time=2.94907 ms
Reply from 10.0.0.1 seq=195 time=2.92526 ms
Reply from 10.0.0.1 seq=196 time=2.96051 ms
