Ping 10.0.0.1 via ports 65534->7000
Reply from 10.0.0.1 seq=0 time=0.429248 ms
Reply from 10.0.0.1 seq=1 time=0.469248 ms
Reply from 10.0.0.1 seq=2 time=0.549248 ms
Reply from 10.0.0.1 seq=3 time=0.549248 ms
Reply from 10.0.0.1 seq=4 time=0.589248 ms
Reply from 10.0.0.1 seq=5 time=0.595517 ms
Reply from 10.0.0.1 seq=6 time=0.589248 ms
Reply from 10.0.0.1 seq=7 time=0.629248 ms
Reply from 10.0.0.1 seq=8 time=0.629248 ms
Reply from 10.0.0.1 seq=9 time=0.629248 ms
Reply from 10.0.0.1 seq=10 time=0.869248 ms
Reply from 10.0.0.1 seq=11 time=0.869248 ms
Reply from 10.0.0.1 seq=12 time=0.869248 ms
Reply from 10.0.0.1 seq=13 time=0.909248 ms
Reply from 10.0.0.1 seq=14 time=0.924471 ms
Reply from 10.0.0.1 seq=15 time=0.909248 ms
Reply from 10.0.0.1 seq=16 time=0.909248 ms
Reply from 10.0.0.1 seq=17 time=0.949248 ms
Reply from 10.0.0.1 seq=18 time=0.949248 ms
Reply from 10.0.0.1 seq=19 time=0.949248 ms
Reply from 10.0.0.1 seq=20 time=1.00122 ms
Reply from 10.0.0.1 seq=21 time=1.03639 ms
Reply from 10.0.0.1 seq=22 time=1.02925 ms
Reply from 10.0.0.1 seq=23 time=1.02925 ms
Reply from 10.0.0.1 seq=24 time=1.02925 ms
Reply from 10.0.0.1 seq=25 time=1.02925 ms
Reply from 10.0.0.1 seq=26 time=1.03569 ms
Reply from 10.0.0.1 seq=27 time=1.06925 ms
Reply from 10.0.0.1 seq=28 time=1.06925 ms
Reply from 10.0.0.1 seq=29 time=1.06938 ms
Reply from 10.0.0.1 seq=30 time=1.06925 ms
Reply from 10.0.0.1 seq=31 time=1.09861 ms
Reply from 10.0.0.1 seq=32 time=1.06925 ms
Reply from 10.0.0.1 seq=33 time=1.06925 ms
Reply from 10.0.0.1 seq=34 time=1.09424 ms
Reply from 10.0.0.1 seq=35 time=1.06925 ms
Reply from 10.0.0.1 seq=36 time=1.07914 ms
Reply from 10.0.0.1 seq=37 time=1.10925 ms
Reply from 10.0.0.1 seq=38 time=1.12658 ms
Reply from 10.0.0.1 seq=39 time=1.10925 ms
Reply from 10.0.0.1 seq=40 time=1.1183 ms
Reply from 10.0.0.1 seq=41 time=1.12884 ms
Reply from 10.0.0.1 seq=42 time=1.10925 ms
Reply from 10.0.0.1 seq=43 time=1.11152 ms
Reply from 10.0.0.1 seq=44 time=1.13883 ms
Reply from 10.0.0.1 seq=45 time=1.12542 ms
Reply from 10.0.0.1 seq=46 time=1.15891 ms
Reply from 10.0.0.1 seq=47 time=1.14925 ms
Reply from 10.0.0.1 seq=48 time=1.15805 ms
Reply from 10.0.0.1 seq=49 time=1.14925 ms
Reply from 10.0.0.1 seq=50 time=1.11711 ms
Reply from 10.0.0.1 seq=51 time=1.15658 ms
Reply from 10.0.0.1 seq=52 time=1.15356 ms
Reply from 10.0.0.1 seq=53 time=1.15899 ms
Reply from 10.0.0.1 seq=54 time=1.17599 ms
Reply from 10.0.0.1 seq=55 time=1.1547 ms
Reply from 10.0.0.1 seq=56 time=1.15612 ms
Reply from 10.0.0.1 seq=57 time=1.15313 ms
Reply from 10.0.0.1 seq=58 time=1.14929 ms
Reply from 10.0.0.1 seq=59 time=1.17364 ms
Reply from 10.0.0.1 seq=60 time=1.20063 ms
Reply from 10.0.0.1 seq=61 time=1.21196 ms
Reply from 10.0.0.1 seq=62 time=1.19324 ms
Reply from 10.0.0.1 seq=63 time=1.20197 ms
Reply from 10.0.0.1 seq=64 time=1.196 ms
Reply from 10.0.0.1 seq=65 time=1.19089 ms
Reply from 10.0.0.1 seq=66 time=1.19904 ms
Reply from 10.0.0.1 seq=67 time=1.1967 ms
Reply from 10.0.0.1 seq=68 time=1.20934 ms
Reply from 10.0.0.1 seq=69 time=1.21114 ms
Reply from 10.0.0.1 seq=70 time=1.19193 ms
Reply from 10.0.0.1 seq=71 time=1.21135 ms
Reply from 10.0.0.1 seq=72 time=1.21786 ms
Reply from 10.0.0.1 seq=73 time=1.19584 ms
Reply from 10.0.0.1 seq=74 time=1.22239 ms
Reply from 10.0.0.1 seq=75 time=1.22307 ms
Reply from 10.0.0.1 seq=76 time=1.18925 ms
Reply from 10.0.0.1 seq=77 time=1.18982 ms
Reply from 10.0.0.1 seq=78 time=1.18925 ms
Reply from 10.0.0.1 seq=79 time=1.21803 ms
Reply from 10.0.0.1 seq=80 time=1.20908 ms
Reply from 10.0.0.1 seq=81 time=1.21999 ms
Reply from 10.0.0.1 seq=82 time=1.22112 ms
Reply from 10.0.0.1 seq=83 time=1.21518 ms
