   Time:s        Teid  AppName  Ul/Dl  Activ:s  Dly:ms  Jit:ms  TxPkts  RxPkts  Loss:%  RxBytes  Thp:kbps
   18.995  0x00000024 VoipCall  Ulink    7.710   0.474   0.001    1076    1076   0.000  1581720  1641.257
   18.995  0x00000024 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   19.608  0x00000028 VoipCall  Ulink    7.705   0.480   0.000     249     249   0.000   366030   380.034
   19.608  0x00000028 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   20.005  0x0000001d VoipCall  Ulink   10.203   0.940   0.011      50      50   0.000    73500    57.627
   20.005  0x0000001d VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   20.930  0x00000013 VoipCall  Ulink   15.052   0.913   0.002    1647    1647   0.000  2421090  1286.782
   20.930  0x00000013 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   24.833  0x0000003e VoipCall  Ulink    8.580   0.515   0.001     165     165   0.000   242550   226.163
   24.833  0x0000003e VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   25.721  0x00000033 VoipCall  Ulink   11.588   1.037   0.003    1770    1770   0.000  2601900  1796.219
   25.721  0x00000033 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   26.349  0x0000004d VoipCall  Ulink    0.000   0.000   0.000       0       0   0.000        0     0.000
   26.349  0x0000004d VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   26.611  0x00000051 VoipCall  Ulink    6.851   1.090   0.004     259     259   0.000   380730   444.598
   26.611  0x00000051 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   26.762  0x0000004c VoipCall  Ulink    7.331   0.529   0.002     515     515   0.000   757050   826.147
   26.762  0x0000004c VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   27.481  0x0000002b VoipCall  Ulink   13.977   1.040   0.003     134     134   0.000   196980   112.747
   27.481  0x0000002b VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   28.098  0x0000002d VoipCall  Ulink   14.634   1.041   0.002     751     751   0.000  1103970   603.522
   28.098  0x0000002d VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   28.128  0x00000010 VoipCall  Ulink   23.057   0.475   0.001     303     303   0.000   445410   154.543
   28.128  0x00000010 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   28.659  0x00000066 VoipCall  Ulink    6.219   0.530   0.002     630     630   0.000   926100  1191.255
   28.659  0x00000066 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   29.004  0x0000006e VoipCall  Ulink    5.173   0.529   0.002     256     256   0.000   376320   581.964
   29.004  0x0000006e VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   29.237  0x0000002f VoipCall  Ulink   15.666   1.046   0.003    1110    1110   0.000  1631700   833.253
   29.237  0x0000002f VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   29.553  0x00000019 VoipCall  Ulink   21.543   0.996   0.003    1976    1976   0.000  2904720  1078.648
   29.553  0x00000019 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   30.229  0x00000030 VoipCall  Ulink   16.247   0.515   0.003      78      78   0.000   114660    56.458
   30.229  0x00000030 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   30.617  0x00000031 VoipCall  Ulink   16.810   1.052   0.003    2065    2065   0.000  3035550  1444.626
   30.617  0x00000031 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   30.857  0x00000074 VoipCall  Ulink    5.959   0.534   0.003     127     127   0.000   186690   250.645
   30.857  0x00000074 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   30.892  0x0000001f VoipCall  Ulink   20.982   1.021   0.002    8942    8942   0.000 13144740  5011.923
   30.892  0x0000001f VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   31.502  0x00000054 VoipCall  Ulink   11.230   0.533   0.001    1206    1206   0.000  1772820  1262.956
   31.502  0x00000054 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   32.419  0x0000006c VoipCall  Ulink    8.963   0.536   0.002     222     222   0.000   326340   291.264
   32.419  0x0000006c VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   32.765  0x00000077 VoipCall  Ulink    5.519   1.101   0.004      55      55   0.000    80850   117.192
   32.765  0x00000077 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   32.897  0x00000040 VoipCall  Ulink   16.549   0.527   0.003     622     622   0.000   914340   442.003
   32.897  0x00000040 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   35.875  0x00000038 VoipCall  Ulink   20.799   0.526   0.003    4041    4041   0.000  5940270  2284.855
   35.875  0x00000038 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   37.353  0x00000068 VoipCall  Ulink   14.713   0.540   0.002     173     173   0.000   254310   138.275
   37.353  0x00000068 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   37.445  0x00000084 VoipCall  Ulink    7.803   0.552   0.004      51      51   0.000    74970    76.858
   37.445  0x00000084 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   37.809  0x00000043 VoipCall  Ulink   20.210   1.092   0.003    4556    4556   0.000  6697320  2651.120
   37.809  0x00000043 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   38.125  0x0000002a VoipCall  Ulink   25.044   0.524   0.003    1056    1056   0.000  1552320   495.872
   38.125  0x0000002a VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   38.489  0x0000006d VoipCall  Ulink   15.030   1.102   0.004    2102    2102   0.000  3089940  1644.699
   38.489  0x0000006d VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
   38.704  0x00000047 VoipCall  Ulink   19.938   1.097   0.004      56      56   0.000    82320    33.030
   38.704  0x00000047 VoipCall  Dlink    0.000   0.000   0.000       0       0   0.000        0     0.000
