Ping 10.0.0.1 via ports 65534->7000
Reply from 10.0.0.1 seq=0 time=0.429248 ms
Reply from 10.0.0.1 seq=1 time=0.469248 ms
Reply from 10.0.0.1 seq=2 time=0.509248 ms
Reply from 10.0.0.1 seq=3 time=0.589248 ms
Reply from 10.0.0.1 seq=4 time=0.63519 ms
Reply from 10.0.0.1 seq=5 time=0.629248 ms
Reply from 10.0.0.1 seq=6 time=0.629248 ms
Reply from 10.0.0.1 seq=7 time=0.669248 ms
Reply from 10.0.0.1 seq=8 time=0.709248 ms
Reply from 10.0.0.1 seq=9 time=0.709248 ms
Reply from 10.0.0.1 seq=10 time=0.709569 ms
Reply from 10.0.0.1 seq=11 time=0.709248 ms
Reply from 10.0.0.1 seq=12 time=0.709248 ms
Reply from 10.0.0.1 seq=13 time=0.749248 ms
Reply from 10.0.0.1 seq=14 time=0.789248 ms
Reply from 10.0.0.1 seq=15 time=0.829248 ms
Reply from 10.0.0.1 seq=16 time=0.829248 ms
Reply from 10.0.0.1 seq=17 time=0.829248 ms
Reply from 10.0.0.1 seq=18 time=0.829248 ms
Reply from 10.0.0.1 seq=19 time=0.829248 ms
Reply from 10.0.0.1 seq=20 time=0.829248 ms
Reply from 10.0.0.1 seq=21 time=0.869248 ms
Reply from 10.0.0.1 seq=22 time=0.869248 ms
Reply from 10.0.0.1 seq=23 time=0.919252 ms
Reply from 10.0.0.1 seq=24 time=0.909248 ms
Reply from 10.0.0.1 seq=25 time=0.949248 ms
Reply from 10.0.0.1 seq=26 time=0.949248 ms
Reply from 10.0.0.1 seq=27 time=0.989248 ms
Reply from 10.0.0.1 seq=28 time=0.996263 ms
Reply from 10.0.0.1 seq=29 time=0.989248 ms
Reply from 10.0.0.1 seq=30 time=0.949248 ms
Reply from 10.0.0.1 seq=31 time=0.989248 ms
Reply from 10.0.0.1 seq=32 time=0.989248 ms
Reply from 10.0.0.1 seq=33 time=0.994266 ms
Reply from 10.0.0.1 seq=34 time=0.989248 ms
Reply from 10.0.0.1 seq=35 time=0.994306 ms
Reply from 10.0.0.1 seq=36 time=0.997769 ms
Reply from 10.0.0.1 seq=37 time=0.989248 ms
Reply from 10.0.0.1 seq=38 time=0.989248 ms
Reply from 10.0.0.1 seq=39 time=0.989248 ms
Reply from 10.0.0.1 seq=40 time=0.989248 ms
Reply from 10.0.0.1 seq=41 time=1.00745 ms
Reply from 10.0.0.1 seq=42 time=0.989248 ms
Reply from 10.0.0.1 seq=43 time=0.989248 ms
Reply from 10.0.0.1 seq=44 time=0.989248 ms
Reply from 10.0.0.1 seq=45 time=0.999945 ms
Reply from 10.0.0.1 seq=46 time=0.989248 ms
Reply from 10.0.0.1 seq=47 time=0.989248 ms
Reply from 10.0.0.1 seq=48 time=0.989248 ms
Reply from 10.0.0.1 seq=49 time=0.992816 ms
Reply from 10.0.0.1 seq=50 time=0.989248 ms
Reply from 10.0.0.1 seq=51 time=0.997058 ms
Reply from 10.0.0.1 seq=52 time=1.02925 ms
Reply from 10.0.0.1 seq=53 time=1.02925 ms
Reply from 10.0.0.1 seq=54 time=1.07042 ms
Reply from 10.0.0.1 seq=55 time=1.06925 ms
Reply from 10.0.0.1 seq=56 time=1.06925 ms
Reply from 10.0.0.1 seq=57 time=1.06925 ms
Reply from 10.0.0.1 seq=58 time=1.07221 ms
Reply from 10.0.0.1 seq=59 time=1.10948 ms
Reply from 10.0.0.1 seq=60 time=1.10925 ms
Reply from 10.0.0.1 seq=61 time=1.12104 ms
Reply from 10.0.0.1 seq=62 time=1.10925 ms
Reply from 10.0.0.1 seq=63 time=1.10925 ms
Reply from 10.0.0.1 seq=64 time=1.10925 ms
Reply from 10.0.0.1 seq=65 time=1.10925 ms
Reply from 10.0.0.1 seq=66 time=1.10925 ms
Reply from 10.0.0.1 seq=67 time=1.10925 ms
Reply from 10.0.0.1 seq=68 time=1.13317 ms
Reply from 10.0.0.1 seq=69 time=1.10925 ms
Reply from 10.0.0.1 seq=70 time=1.11131 ms
Reply from 10.0.0.1 seq=71 time=1.10925 ms
Reply from 10.0.0.1 seq=72 time=1.13552 ms
Reply from 10.0.0.1 seq=73 time=1.11689 ms
Reply from 10.0.0.1 seq=74 time=1.12096 ms
Reply from 10.0.0.1 seq=75 time=1.10925 ms
Reply from 10.0.0.1 seq=76 time=1.11718 ms
Reply from 10.0.0.1 seq=77 time=1.13057 ms
Reply from 10.0.0.1 seq=78 time=1.10925 ms
Reply from 10.0.0.1 seq=79 time=1.14423 ms
Reply from 10.0.0.1 seq=80 time=1.10925 ms
Reply from 10.0.0.1 seq=81 time=1.12389 ms
Reply from 10.0.0.1 seq=82 time=1.14405 ms
Reply from 10.0.0.1 seq=83 time=1.10925 ms
