Ping 10.0.0.1 via ports 65534->7000
Reply from 10.0.0.1 seq=0 time=0.429248 ms
Reply from 10.0.0.1 seq=1 time=0.669248 ms
Reply from 10.0.0.1 seq=2 time=0.669248 ms
Reply from 10.0.0.1 seq=3 time=0.669248 ms
Reply from 10.0.0.1 seq=4 time=0.789248 ms
Reply from 10.0.0.1 seq=5 time=0.789248 ms
Reply from 10.0.0.1 seq=6 time=0.789248 ms
Reply from 10.0.0.1 seq=7 time=0.789248 ms
Reply from 10.0.0.1 seq=8 time=0.909248 ms
Reply from 10.0.0.1 seq=9 time=0.909248 ms
Reply from 10.0.0.1 seq=10 time=0.909248 ms
Reply from 10.0.0.1 seq=11 time=0.931599 ms
Reply from 10.0.0.1 seq=12 time=0.909248 ms
Reply from 10.0.0.1 seq=13 time=0.949248 ms
Reply from 10.0.0.1 seq=14 time=1.02925 ms
Reply from 10.0.0.1 seq=15 time=1.02925 ms
Reply from 10.0.0.1 seq=16 time=1.02925 ms
Reply from 10.0.0.1 seq=17 time=1.02925 ms
Reply from 10.0.0.1 seq=18 time=1.02925 ms
Reply from 10.0.0.1 seq=19 time=1.02925 ms
Reply from 10.0.0.1 seq=20 time=1.02925 ms
Reply from 10.0.0.1 seq=21 time=1.02925 ms
Reply from 10.0.0.1 seq=22 time=1.02925 ms
Reply from 10.0.0.1 seq=23 time=1.02925 ms
Reply from 10.0.0.1 seq=24 time=1.02925 ms
Reply from 10.0.0.1 seq=25 time=1.02925 ms
Reply from 10.0.0.1 seq=26 time=1.0413 ms
Reply from 10.0.0.1 seq=27 time=1.03679 ms
Reply from 10.0.0.1 seq=28 time=1.07476 ms
Reply from 10.0.0.1 seq=29 time=1.06925 ms
Reply from 10.0.0.1 seq=30 time=1.10462 ms
Reply from 10.0.0.1 seq=31 time=1.09012 ms
Reply from 10.0.0.1 seq=32 time=1.06925 ms
Reply from 10.0.0.1 seq=33 time=1.06925 ms
Reply from 10.0.0.1 seq=34 time=1.122 ms
Reply from 10.0.0.1 seq=35 time=1.10925 ms
Reply from 10.0.0.1 seq=36 time=1.10925 ms
Reply from 10.0.0.1 seq=37 time=1.10925 ms
Reply from 10.0.0.1 seq=38 time=1.10925 ms
Reply from 10.0.0.1 seq=39 time=1.10925 ms
Reply from 10.0.0.1 seq=40 time=1.10925 ms
Reply from 10.0.0.1 seq=41 time=1.10925 ms
Reply from 10.0.0.1 seq=42 time=1.11673 ms
Reply from 10.0.0.1 seq=43 time=1.13129 ms
Reply from 10.0.0.1 seq=44 time=1.10925 ms
Reply from 10.0.0.1 seq=45 time=1.10925 ms
Reply from 10.0.0.1 seq=46 time=1.10925 ms
Reply from 10.0.0.1 seq=47 time=1.10925 ms
Reply from 10.0.0.1 seq=48 time=1.13396 ms
Reply from 10.0.0.1 seq=49 time=1.11196 ms
Reply from 10.0.0.1 seq=50 time=1.13809 ms
Reply from 10.0.0.1 seq=51 time=1.10925 ms
Reply from 10.0.0.1 seq=52 time=1.10925 ms
Reply from 10.0.0.1 seq=53 time=1.12025 ms
Reply from 10.0.0.1 seq=54 time=1.10925 ms
Reply from 10.0.0.1 seq=55 time=1.10993 ms
Reply from 10.0.0.1 seq=56 time=1.10925 ms
Reply from 10.0.0.1 seq=57 time=1.10925 ms
Reply from 10.0.0.1 seq=58 time=1.14938 ms
Reply from 10.0.0.1 seq=59 time=1.14925 ms
Reply from 10.0.0.1 seq=60 time=1.14925 ms
Reply from 10.0.0.1 seq=61 time=1.14925 ms
Reply from 10.0.0.1 seq=62 time=1.14925 ms
Reply from 10.0.0.1 seq=63 time=1.14925 ms
Reply from 10.0.0.1 seq=64 time=1.14925 ms
Reply from 10.0.0.1 seq=65 time=1.14925 ms
Reply from 10.0.0.1 seq=66 time=1.14925 ms
Reply from 10.0.0.1 seq=67 time=1.14925 ms
